dictionary	headword	card_token	status
verb	pat	pat	ok
verb	dah	dah	ok
verb	yaj	yaj	ok
verb	SaMs	_53a_4ds	ok
verb	vas	vas	ok
verb	rakz	rakz	ok
verb	jIv	j_49v	ok
verb	car	car	ok
verb	nam	nam	ok
verb	pac	pac	ok
verb	DAv	_44_41v	ok
verb	tyaj	tyaj	ok
verb	vah	vah	ok
verb	ji	ji	ok
verb	nI	n_49	ok
verb	BU	_42_55	ok
verb	smf	smf	ok
verb	tF	t_46	ok
verb	vfz	vfz	ok
verb	pA	p_41	ok
verb	sTA	s_54_41	ok
verb	dfS	df_53	ok
verb	gam	gam	ok
verb	yam	yam	ok
verb	kzip	kzip	ok
verb	viS	vi_53	ok
verb	pracC	prac_43	ok
verb	karz		no_card
verb	sparS		no_card
verb	iz	iz	ok
verb	diS	di_53	ok
verb	sic	sic	ok
verb	sarj		no_card
verb	hvA	hv_41	ok
verb	sad	sad	ok
verb	guh	guh	ok
verb	muc	muc	ok
verb	kart		no_card
verb	lip	lip	ok
verb	lup	lup	ok
verb	gup	gup	ok
verb	ruh	ruh	ok
verb	luB	lu_42	ok
verb	kruD	kru_44	ok
verb	Suz	_53uz	ok
verb	kup	kup	ok
verb	as	as	ok
verb	naS	na_53	ok
verb	snih	snih	ok
verb	liK	li_4b	ok
verb	A-gam		prefixed_no_card
verb	A-ruh		prefixed_no_card
verb	A-kram		prefixed_no_card
verb	div	div	ok
verb	mad	mad	ok
verb	tuz	tuz	ok
verb	tam	tam	ok
verb	Sam	_53am	ok
verb	Sram	_53ram	ok
verb	Bram	_42ram	ok
verb	vyaD	vya_44	ok
verb	A-cam		prefixed_no_card
verb	ar		no_card
verb	har		no_card
verb	kzal		no_card
verb	cur		no_card
verb	tul		no_card
verb	taq		no_card
verb	gaR		no_card
verb	kaT	ka_54	ok
verb	daRq		no_card
verb	pIq		no_card
verb	par		no_card
verb	pUj		no_card
verb	A-nI		prefixed_no_card
verb	Ikz	_49kz	ok
verb	kamp	kamp	ok
verb	BAz	_42_41z	ok
verb	yat	yat	ok
verb	A-raB		prefixed_no_card
